澳芒,1187,水果,,芒果类,5.5,10.0,7.75,,,斤,2023-11-03 00:00:00
水仙芒果,1187,水果,,芒果类,11.0,12.0,11.5,,,斤,2023-11-03 00:00:00
白条猪,1189,肉禽蛋,1205,猪肉类,10.0,10.0,10.0,,瘦,斤,2023-11-03 00:00:00
白条猪,1189,肉禽蛋,1205,猪肉类,8.25,8.25,8.25,,肥,斤,2023-11-03 00:00:00
草鱼,1190,水产,1209,淡水鱼,7.0,7.0,7.0,,1500g左右,斤,2023-11-03 00:00:00
草鱼,1190,水产,1209,淡水鱼,8.0,8.5,8.25,,5000g左右,斤,2023-11-03 00:00:00
鲫鱼,1190,水产,1209,淡水鱼,8.0,9.0,8.5,,100g-150g,斤,2023-11-03 00:00:00
鲫鱼,1190,水产,1209,淡水鱼,9.0,10.0,9.5,,200g-250g,斤,2023-11-03 00:00:00
鲫鱼,1190,水产,1209,淡水鱼,10.0,11.0,10.5,,350g-400g,斤,2023-11-03 00:00:00
胖头鱼,1190,水产,1209,淡水鱼,8.5,9.5,9.0,,>2000g,斤,2023-11-03 00:00:00
胖头鱼,1190,水产,1209,淡水鱼,9.5,10.5,10.0,,<2000g,斤,2023-11-03 00:00:00
武昌鱼,1190,水产,1209,淡水鱼,11.0,12.0,11.5,,700g左右,斤,2023-11-03 00:00:00
鲢鱼,1190,水产,1209,淡水鱼,4.0,5.0,4.5,,>1500g,斤,2023-11-03 00:00:00
鲢鱼,1190,水产,1209,淡水鱼,3.0,4.0,3.5,,1000-1500g,斤,2023-11-03 00:00:00
鲶鱼,1190,水产,1209,淡水鱼,6.0,6.5,6.25,,养殖,斤,2023-11-03 00:00:00
松花鱼,1190,水产,1209,淡水鱼,10.0,11.0,10.5,,养殖,斤,2023-11-03 00:00:00
黑鱼,1190,水产,1209,淡水鱼,15.0,15.0,15.0,,<1500g,斤,2023-11-03 00:00:00
黑鱼,1190,水产,1209,淡水鱼,15.0,15.0,15.0,,>1500g,斤,2023-11-03 00:00:00
黄鳝,1190,水产,1209,淡水鱼,20.0,25.0,22.5,,50g-100g,斤,2023-11-03 00:00:00
黄鳝,1190,水产,1209,淡水鱼,33.0,35.0,34.0,,100g-200g,斤,2023-11-03 00:00:00
罗非鱼,1190,水产,1209,淡水鱼,9.5,11.0,10.25,,活,斤,2023-11-03 00:00:00
虹鳟鱼,1190,水产,1209,淡水鱼,23.0,25.0,24.0,,活,斤,2023-11-03 00:00:00
鲟鱼,1190,水产,1209,淡水鱼,21.0,22.0,21.5,,活,斤,2023-11-03 00:00:00
青鱼,1190,水产,1209,淡水鱼,12.0,13.0,12.5,,活,斤,2023-11-03 00:00:00
前臀尖,1189,肉禽蛋,1205,猪肉类,9.5,9.5,9.5,,瘦,斤,2023-11-03 00:00:00
前臀尖,1189,肉禽蛋,1205,猪肉类,8.0,9.0,8.5,,肥,斤,2023-11-03 00:00:00
后臀尖,1189,肉禽蛋,1205,猪肉类,9.5,9.5,9.5,,瘦,斤,2023-11-03 00:00:00
后臀尖,1189,肉禽蛋,1205,猪肉类,8.0,9.0,8.5,,肥,斤,2023-11-03 00:00:00
五花肉,1189,肉禽蛋,1205,猪肉类,11.5,12.0,11.75,,瘦,斤,2023-11-03 00:00:00
五花肉,1189,肉禽蛋,1205,猪肉类,10.0,11.0,10.5,,肥,斤,2023-11-03 00:00:00
五花头,1189,肉禽蛋,1205,猪肉类,8.5,9.5,9.0,,,斤,2023-11-03 00:00:00
纯通脊,1189,肉禽蛋,1205,猪肉类,10.5,11.5,11.0,,,斤,2023-11-03 00:00:00
通脊,1189,肉禽蛋,1205,猪肉类,8.0,9.0,8.5,,,斤,2023-11-03 00:00:00
小里脊,1189,肉禽蛋,1205,猪肉类,11.5,12.5,12.0,,,斤,2023-11-03 00:00:00
梅花肉,1189,肉禽蛋,1205,猪肉类,10.5,11.0,10.75,,,斤,2023-11-03 00:00:00
纯瘦肉,1189,肉禽蛋,1205,猪肉类,10.0,11.0,10.5,,,斤,2023-11-03 00:00:00
护心肉,1189,肉禽蛋,1205,猪肉类,15.0,16.0,15.5,,鲜,斤,2023-11-03 00:00:00
前肘,1189,肉禽蛋,1205,猪肉类,8.5,9.5,9.0,,,斤,2023-11-03 00:00:00
后肘（带骨）,1189,肉禽蛋,1205,猪肉类,7.0,7.5,7.25,,,斤,2023-11-03 00:00:00
后肘（去骨）,1189,肉禽蛋,1205,猪肉类,8.5,9.0,8.75,,,斤,2023-11-03 00:00:00
猪尾巴,1189,肉禽蛋,1205,猪肉类,40.0,42.0,41.0,,,斤,2023-11-03 00:00:00
猪蹄,1189,肉禽蛋,1205,猪肉类,18.0,19.0,18.5,,,斤,2023-11-03 00:00:00
纯排骨,1189,肉禽蛋,1205,猪肉类,18.0,20.0,19.0,,,斤,2023-11-03 00:00:00
纯腔骨,1189,肉禽蛋,1205,猪肉类,6.5,8.5,7.5,,,斤,2023-11-03 00:00:00
羊心,1189,肉禽蛋,1207,羊肉类,16.0,17.0,16.5,,,斤,2023-11-03 00:00:00
羊肠,1189,肉禽蛋,1207,羊肉类,14.0,14.0,14.0,,,斤,2023-11-03 00:00:00
羊肚,1189,肉禽蛋,1207,羊肉类,19.0,19.0,19.0,,,斤,2023-11-03 00:00:00
羊鞭,1189,肉禽蛋,1207,羊肉类,70.0,70.0,70.0,,,斤,2023-11-03 00:00:00
羊宝,1189,肉禽蛋,1207,羊肉类,32.0,33.0,32.5,,,斤,2023-11-03 00:00:00
羊骨头,1189,肉禽蛋,1207,羊肉类,9.5,10.0,9.75,,,斤,2023-11-03 00:00:00
羊上脑,1189,肉禽蛋,1207,羊肉类,30.0,31.0,30.5,,,斤,2023-11-03 00:00:00
羊腩,1189,肉禽蛋,1207,羊肉类,21.0,22.0,21.5,,,斤,2023-11-03 00:00:00
羊里脊,1189,肉禽蛋,1207,羊肉类,29.0,30.0,29.5,,,斤,2023-11-03 00:00:00
淘汰鸡,1189,肉禽蛋,1208,禽蛋类,11.5,12.0,11.75,,干净膛,斤,2023-11-03 00:00:00
淘汰鸡,1189,肉禽蛋,1208,禽蛋类,10.3,10.5,10.4,,净膛,斤,2023-11-03 00:00:00
仔鸡,1189,肉禽蛋,1208,禽蛋类,6.8,7.2,7.0,,净膛,斤,2023-11-03 00:00:00
肉鸡,1189,肉禽蛋,1208,禽蛋类,7.0,7.5,7.25,,,斤,2023-11-03 00:00:00
鸡胸,1189,肉禽蛋,1208,禽蛋类,6.2,7.0,6.6,,,斤,2023-11-03 00:00:00
鸡翅,1189,肉禽蛋,1208,禽蛋类,12.0,12.0,12.0,,,斤,2023-11-03 00:00:00
鸡翅尖,1189,肉禽蛋,1208,禽蛋类,7.5,7.5,7.5,,,斤,2023-11-03 00:00:00
鸡翅中,1189,肉禽蛋,1208,禽蛋类,20.0,21.0,20.5,,,斤,2023-11-03 00:00:00
鸡翅根,1189,肉禽蛋,1208,禽蛋类,7.5,7.5,7.5,,,斤,2023-11-03 00:00:00
鸡边腿,1189,肉禽蛋,1208,禽蛋类,6.3,6.5,6.4,,,斤,2023-11-03 00:00:00
鸡排腿,1189,肉禽蛋,1208,禽蛋类,6.8,7.0,6.9,,,斤,2023-11-03 00:00:00
鸡琵琶腿,1189,肉禽蛋,1208,禽蛋类,7.3,7.5,7.4,,,斤,2023-11-03 00:00:00
鸡胗,1189,肉禽蛋,1208,禽蛋类,11.0,14.0,12.5,,,斤,2023-11-03 00:00:00
鸡爪,1189,肉禽蛋,1208,禽蛋类,20.0,20.0,20.0,,,斤,2023-11-03 00:00:00
鸡心,1189,肉禽蛋,1208,禽蛋类,5.0,5.0,5.0,,,斤,2023-11-03 00:00:00
鸡肝,1189,肉禽蛋,1208,禽蛋类,3.0,3.0,3.0,,,斤,2023-11-03 00:00:00
鸡脖子,1189,肉禽蛋,1208,禽蛋类,5.0,5.0,5.0,,去皮,斤,2023-11-03 00:00:00
鸡头,1189,肉禽蛋,1208,禽蛋类,3.0,3.0,3.0,,,斤,2023-11-03 00:00:00
鸡油,1189,肉禽蛋,1208,禽蛋类,5.5,5.5,5.5,,,斤,2023-11-03 00:00:00
鸡架子,1189,肉禽蛋,1208,禽蛋类,3.5,4.0,3.75,,,斤,2023-11-03 00:00:00
白条乌鸡,1189,肉禽蛋,1208,禽蛋类,12.0,12.0,12.0,,净膛,斤,2023-11-03 00:00:00
黑爪公鸡,1189,肉禽蛋,1208,禽蛋类,12.0,13.0,12.5,,净膛,斤,2023-11-03 00:00:00
白条鹅,1189,肉禽蛋,1208,禽蛋类,12.0,13.0,12.5,,净膛,斤,2023-11-03 00:00:00
白条湖鸭,1189,肉禽蛋,1208,禽蛋类,7.0,8.0,7.5,,,斤,2023-11-03 00:00:00
鸭肠,1189,肉禽蛋,1208,禽蛋类,7.5,8.0,7.75,,,斤,2023-11-03 00:00:00
鸭肝,1189,肉禽蛋,1208,禽蛋类,2.0,2.5,2.25,,,斤,2023-11-03 00:00:00
鸭头,1189,肉禽蛋,1208,禽蛋类,12.5,13.5,13.0,,,斤,2023-11-03 00:00:00
鸭心,1189,肉禽蛋,1208,禽蛋类,4.5,5.5,5.0,,,斤,2023-11-03 00:00:00
鸭腿,1189,肉禽蛋,1208,禽蛋类,6.0,6.5,6.25,,,斤,2023-11-03 00:00:00
鸭胗,1189,肉禽蛋,1208,禽蛋类,12.5,13.5,13.0,,,斤,2023-11-03 00:00:00
鸭脖子,1189,肉禽蛋,1208,禽蛋类,9.0,9.5,9.25,,去皮,斤,2023-11-03 00:00:00
国光,1187,水果,,苹果类,2.0,3.0,2.5,,,斤,2023-11-03 00:00:00
寒富苹果,1187,水果,,苹果类,3.0,3.5,3.25,辽宁,,斤,2023-11-03 00:00:00
王林,1187,水果,,苹果类,2.3,2.8,2.55,,,斤,2023-11-03 00:00:00
阳光玫瑰,1187,水果,,葡萄类,7.5,20.0,13.75,,,斤,2023-11-03 00:00:00
红提,1187,水果,,葡萄类,6.5,8.0,7.25,,,斤,2023-11-03 00:00:00
玫瑰香,1187,水果,,葡萄类,6.5,8.0,7.25,,,斤,2023-11-03 00:00:00
克伦生,1187,水果,,葡萄类,7.5,9.0,8.25,,,斤,2023-11-03 00:00:00
夏黑,1187,水果,,葡萄类,5.5,7.0,6.25,,,斤,2023-11-03 00:00:00
红宝石,1187,水果,,葡萄类,4.0,5.5,4.75,,,斤,2023-11-03 00:00:00
巨峰,1187,水果,,葡萄类,3.0,7.0,5.0,,,斤,2023-11-03 00:00:00
辽峰,1187,水果,,葡萄类,5.0,9.0,7.0,,,斤,2023-11-03 00:00:00
新疆无核,1187,水果,,葡萄类,5.0,6.0,5.5,,,斤,2023-11-03 00:00:00
蓝宝石葡萄,1187,水果,,葡萄类,9.0,11.0,10.0,,,斤,2023-11-03 00:00:00
紫甜葡萄,1187,水果,,葡萄类,5.0,5.5,5.25,,,斤,2023-11-03 00:00:00
台农,1187,水果,,芒果类,14.5,15.5,15.0,,小,斤,2023-11-03 00:00:00
凯特芒,1187,水果,,芒果类,3.5,4.5,4.0,,,斤,2023-11-03 00:00:00
澳芒,1187,水果,,芒果类,5.5,10.0,7.75,,,斤,2023-11-03 00:00:00
水仙芒果,1187,水果,,芒果类,11.0,12.0,11.5,,,斤,2023-11-03 00:00:00
白条猪,1189,肉禽蛋,1205,猪肉类,10.0,10.0,10.0,,瘦,斤,2023-11-03 00:00:00
白条猪,1189,肉禽蛋,1205,猪肉类,8.25,8.25,8.25,,肥,斤,2023-11-03 00:00:00
草鱼,1190,水产,1209,淡水鱼,7.0,7.0,7.0,,1500g左右,斤,2023-11-03 00:00:00
草鱼,1190,水产,1209,淡水鱼,8.0,8.5,8.25,,5000g左右,斤,2023-11-03 00:00:00
鲫鱼,1190,水产,1209,淡水鱼,8.0,9.0,8.5,,100g-150g,斤,2023-11-03 00:00:00
鲫鱼,1190,水产,1209,淡水鱼,9.0,10.0,9.5,,200g-250g,斤,2023-11-03 00:00:00
鲫鱼,1190,水产,1209,淡水鱼,10.0,11.0,10.5,,350g-400g,斤,2023-11-03 00:00:00
胖头鱼,1190,水产,1209,淡水鱼,8.5,9.5,9.0,,>2000g,斤,2023-11-03 00:00:00
胖头鱼,1190,水产,1209,淡水鱼,9.5,10.5,10.0,,<2000g,斤,2023-11-03 00:00:00
武昌鱼,1190,水产,1209,淡水鱼,11.0,12.0,11.5,,700g左右,斤,2023-11-03 00:00:00
鲢鱼,1190,水产,1209,淡水鱼,4.0,5.0,4.5,,>1500g,斤,2023-11-03 00:00:00
鲢鱼,1190,水产,1209,淡水鱼,3.0,4.0,3.5,,1000-1500g,斤,2023-11-03 00:00:00
鲶鱼,1190,水产,1209,淡水鱼,6.0,6.5,6.25,,养殖,斤,2023-11-03 00:00:00
松花鱼,1190,水产,1209,淡水鱼,10.0,11.0,10.5,,养殖,斤,2023-11-03 00:00:00
黑鱼,1190,水产,1209,淡水鱼,15.0,15.0,15.0,,<1500g,斤,2023-11-03 00:00:00
黑鱼,1190,水产,1209,淡水鱼,15.0,15.0,15.0,,>1500g,斤,2023-11-03 00:00:00
黄鳝,1190,水产,1209,淡水鱼,20.0,25.0,22.5,,50g-100g,斤,2023-11-03 00:00:00
黄鳝,1190,水产,1209,淡水鱼,33.0,35.0,34.0,,100g-200g,斤,2023-11-03 00:00:00
罗非鱼,1190,水产,1209,淡水鱼,9.5,11.0,10.25,,活,斤,2023-11-03 00:00:00
虹鳟鱼,1190,水产,1209,淡水鱼,23.0,25.0,24.0,,活,斤,2023-11-03 00:00:00
鲟鱼,1190,水产,1209,淡水鱼,21.0,22.0,21.5,,活,斤,2023-11-03 00:00:00
青鱼,1190,水产,1209,淡水鱼,12.0,13.0,12.5,,活,斤,2023-11-03 00:00:00
